scheme_name,category,scheme_type,ministry,benefits,eligibility,description,target_group,age_min,age_max,gender,family_income_max,occupation,state,priority
Atal Graha Jyoti Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Atal Mission For Rejuvenation And Urban Transformation,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Atal Pension Yojana,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Atal Sneh Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Atma Nirbhar Bagwani Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Atma Nirbhar Krishi Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
"Award for Success in State Public Service Commission, Union Public Service Commission Examination (MPBOCWWB)",General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Award of Attendance Scholarship to Girl Students in the Middle Stage of Education,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,Student,All,Medium
Award of Scholarship to the Children who are Recipients of National Child Award for Exceptional Achievements and Other National / International Merit Awards,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,Student,All,High
Awasiya Vidyala Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Health,Government,Ministry of Health,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,300000,All,All,High
BPL (Below Poverty Line) Student Welfare Scholarship - Technical Education,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,Student,All,Medium
Bakri Palan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bal Sakha Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Balika Samrithi Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Banglar Awaas Yojana (BAY),General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Baristha Nagarika Tirtha Yatra Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Beej Masaale Ki Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Beti Hai Anmol Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bharati Scheme for Education - 1st Class to 5th Class,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bharati Scheme for Education - 6th Class to 10th Class,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bharati Scheme for Education - Graduation,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bharati Scheme for Education - Intermediate or Equivalent,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bharati Scheme for Education - Post-Graduation,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bharati Scheme for Education - Professional Education Course,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bharati Scheme for Education Professional Education Course - Chartered Accountancy Final,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bharati Scheme for Education Professional Education Course - Chartered Accountancy Intern,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bhavantar Bharpai Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bhed Palan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bhraman - Darshan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bihar Disability Pension Scheme,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Bihar Shatabdi AIDS Pirit Kalyan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Death,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Injuries,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Medical Assistance for Incurable Diseases,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Natural Death,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Permanent Partial Disability,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Total Permanent Disability,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bihar Startup Policy,MSME/Startup,Government,Ministry of MSME,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bihar State Alpsankhyak Awasiya Vidyalaya Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bihar State Journalist Insurance Scheme,Health,Government,Ministry of Health,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Biju Pucca Ghar Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Biju Swasthya Kalyan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Biju Yuva Sashaktikaran Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bima Yojana - Direct Benefit to Artisan,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bina Mulya Samajik Suraksha Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Birsa Awas Nirman Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Birsa Harit Gram Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Block Level Institute for Rural Skill Acquisition (BIRSA),General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bunkar Parivar Ke Pratibhavan Chatra-Chatraon Ko Protsahan Puraskar Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Bunkar Parivar Sahayata Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Capacity Building For Service Providers - Skill Testing & Certification,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Central Sector Scheme of National Fellowship for Providing Fellowship to Scheduled Caste Students to Pursue M.Phil. & PhD,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,Student,All,High
Central Vigilance Commission (CVC) Internship Scheme,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chai Vikas Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chhattisgarh Mukhyamantri Kanya Vivah Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister Arogya Arunachal Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister BC & EBC Chhatravas Anudan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister EBC Civil Seva Protsahan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister Ekal Nari Samman Pension Yojana,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Chief Minister Floriculture Mission,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister Higher Education Encouragement Scholarship Scheme,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,Student,All,Medium
Chief Minister Higher Education Scholarship Scheme,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,Student,All,Medium
Chief Minister Housing Assistance Programme,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister Kanya Utthan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister Ladli Behna Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister Nari Shakti Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister Pension Scheme,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Chief Minister Samagra Gramya Unnayan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister Specially Abled Samman Pension Scheme,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Chief Minister's Building and Other Construction Workers Housing (Rural) Scheme,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister's Building and Other Construction Workers Urban Housing Scheme (MPBOCWWB),General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister's Comprehensive Health Insurance Scheme,Health,Government,Ministry of Health,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister's Jeevan Jyoti Swaniyojan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister's Krishi Rinn Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister's State Disability Pension Scheme - Sikkim,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Chief Ministergi Artistesinggi Tengbang (CMAT) – Artiste’s Pension,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Chief Ministergi Artistesinggi Tengbang (CMAT) – Scheme Of Festival Assistance For Participating In International & National Festival,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,High
Chief Minister’s Comprehensive Health Insurance Scheme - Tamil Nadu,Health,Government,Ministry of Health,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister’s Health Insurance Scheme - Nagaland,Health,Government,Ministry of Health,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister’s Krishi Samuh Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister’s Paryatan Siksha Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister’s Paryatan Vikas Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister’s Shasakt Kisan Yojana,Farmer,Government,Ministry of Agriculture,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,Farmer,All,Medium
Chief Minister’s Startup/innovation Projects/new Industries,MSME/Startup,Government,Ministry of MSME,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chief Minister’s Yuva Kaushal Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chikitsa Pratipoorti Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Chikitsa Sahayata Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Children Education Allowance,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Children Education Assistance Fund,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Cluster Mei Bagwani Ki Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Cluster Mei Bagwani Ki Yojana-II,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Coconut Palm Insurance Scheme,Health,Government,Ministry of Health,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Coir Udyami Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Coir Vikas Yojana- Coir Industry Technology Upgradation Scheme,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Coir Vikas Yojana- Export Market Promotion Scheme,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Coir Vikas Yojana-Skill Upgradation and Mahila Coir Yojana,Women,Government,Ministry of Women & Child Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,Female,500000,All,All,Medium
Comprehensive Educational Loan Scheme - Sikkim,MSME/Startup,Government,Ministry of MSME,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
