ministry,scheme_type,family_income_max,priority,category,age_max,description,scheme_name,income_max,target_group,occupation,state,age_min,eligibility,benefits,gender
Rural Ministry,Not Available,Not Available,Not Available,Rural Development,60,Livelihood,DAY-NRLM,300000,Rural Poor,Worker,Rural,18,Rural poor,SHG support,All
Housing Ministry,Not Available,Not Available,Not Available,Urban Development,60,Urban jobs,DAY-NULM,300000,Urban Poor,Worker,Urban,18,Urban poor,Skill + loan,All
Rural Ministry,Not Available,Not Available,Not Available,Social Welfare,100,Social security,NSAP,300000,Elderly,Unemployed,All,60,BPL elderly,Pension,All
Finance Ministry,Not Available,Not Available,Not Available,Insurance,50,Life insurance,PMJJBY,1000000,General Public,All,All,18,18-50,₹2L insurance,All
Finance Ministry,Not Available,Not Available,Not Available,Insurance,70,Accident insurance,PMSBY,1000000,General Public,All,All,18,18-70,₹2L accident,All
Skill Ministry,Not Available,Not Available,Not Available,Skill,35,Skill dev,Skill India,500000,Youth,Student,All,18,Youth,Training,All
DPIIT,Not Available,Not Available,Not Available,Startup,65,Startup support,Startup India,1000000,Entrepreneurs,Business,All,18,Startups,Tax benefits,All
Commerce Ministry,Not Available,Not Available,Not Available,Manufacturing,65,Manufacturing,Make in India,1000000,Business,Business,All,18,Businesses,Industrial support,All
Renewable Ministry,Not Available,Not Available,Not Available,Energy,65,Solar scheme,PM KUSUM,800000,Farmers,Farmer,Rural,18,Farmers,Solar pumps,All
Fisheries Ministry,Not Available,Not Available,Not Available,Fisheries,60,Fisheries growth,PM Matsya Sampada,600000,Fishermen,Fisherman,Coastal,18,Fish farmers,Fisher support,All
Education Ministry,Not Available,Not Available,Not Available,Student,15,Nutrition,Mid Day Meal,300000,Students,Student,All,5,School students,Free meals,All
Education Ministry,Not Available,Not Available,Not Available,Student,30,Education support,National Scholarship Portal,400000,Students,Student,All,10,Students,Scholarships,All
UP Govt,Not Available,Not Available,Not Available,Women,25,Support girls,Mukhyamantri Kanya Sumangala,300000,Women,Student,Uttar Pradesh,0,Girl child,Financial aid,Female
UP Govt,Not Available,Not Available,Not Available,Student,25,Digital support,UP Free Laptop Scheme,300000,Students,Student,Uttar Pradesh,16,Students,Laptop,All
UP Govt,Not Available,Not Available,Not Available,Employment,35,Support unemployed,UP बेरोजगारी भत्ता,300000,Youth,Unemployed,Uttar Pradesh,18,Unemployed youth,Allowance,All
UP Govt,Not Available,Not Available,Not Available,Women,100,Support women,Rani Lakshmi Bai Pension,200000,Women,Unemployed,Uttar Pradesh,40,Women,Pension,Female
UP Govt,Not Available,Not Available,Not Available,Farmer,70,Debt relief,UP किसान ऋण मोचन,500000,Farmers,Farmer,Uttar Pradesh,18,Farmers,Loan waiver,All
Delhi Govt,Not Available,Not Available,Not Available,Subsidy,100,Utility subsidy,Delhi Free Electricity Scheme,500000,General Public,All,Delhi,18,Residents,Free electricity,All
Delhi Govt,Not Available,Not Available,Not Available,Women,25,Encourage education,Delhi Ladli Scheme,300000,Girls,Student,Delhi,0,Girls,Financial support,Female
MP Govt,Not Available,Not Available,Not Available,Women,60,Women empowerment,Mukhyamantri Ladli Behna Yojana,300000,Women,Unemployed,Madhya Pradesh,21,Women,Monthly aid,Female
Odisha Govt,Not Available,Not Available,Not Available,Farmer,70,Farming support,KALIA Scheme,500000,Farmers,Farmer,Odisha,18,Farmers,Income support,All
Odisha Govt,Not Available,Not Available,Not Available,Health,100,Healthcare,Biju Swasthya Kalyan Yojana,300000,Poor Families,All,Odisha,0,Poor families,Health insurance,All
Karnataka Govt,Not Available,Not Available,Not Available,Health,100,Healthcare,Arogya Karnataka,300000,General Public,All,Karnataka,0,Residents,Health coverage,All
Karnataka Govt,Not Available,Not Available,Not Available,Women,60,Financial aid,Gruha Lakshmi Scheme,300000,Women,Housewife,Karnataka,18,Women,Monthly support,Female
Maharashtra Govt,Not Available,Not Available,Not Available,Health,100,Healthcare,Mahatma Jyotiba Phule Scheme,300000,Poor Families,All,Maharashtra,0,BPL,Health insurance,All
Rajasthan Govt,Not Available,Not Available,Not Available,Women,25,Girl support,Rajshree Yojana,300000,Women,Student,Rajasthan,0,Girl child,Financial aid,Female
AP Govt,Not Available,Not Available,Not Available,Student,50,Education support,Amma Vodi,300000,Women,Housewife,Andhra Pradesh,25,Mothers of students,Financial aid,Female
WB Govt,Not Available,Not Available,Not Available,Women,25,Education support,Kanyashree Prakalpa,300000,Women,Student,West Bengal,13,Girls,Scholarship,Female
Bihar Govt,Not Available,Not Available,Not Available,Women,25,Encourage education,Chief Minister Girl Child Scheme,300000,Women,Student,Bihar,0,Girls,Financial support,Female
TN Govt,Not Available,Not Available,Not Available,Women,40,Social welfare,Tamil Nadu Marriage Scheme,300000,Women,Unemployed,Tamil Nadu,18,Women,Marriage assistance,Female
MP Govt,Not Available,Not Available,Not Available,Women,25,Empower girls,Ladli Laxmi Yojana,300000,Women,Student,Madhya Pradesh,0,Girls,Financial aid,Female
MP Govt,Not Available,Not Available,Not Available,Student,25,Merit support,Mukhyamantri Medhavi Yojana,300000,Students,Student,Madhya Pradesh,16,Students,Scholarship,All
MP Govt,Not Available,Not Available,Not Available,Student,25,Encourage girls,MP Free Scooty Scheme,300000,Girls,Student,Madhya Pradesh,16,Top students,Scooty,Female
Rajasthan Govt,Not Available,Not Available,Not Available,Digital,60,Digital empowerment,Rajasthan Free Mobile Scheme,300000,Women,Housewife,Rajasthan,18,Women,Smartphone,Female
Haryana Govt,Not Available,Not Available,Not Available,Employment,35,Youth employment,Haryana Saksham Yuva,300000,Youth,Unemployed,Haryana,18,Graduates,Allowance,All
Punjab Govt,Not Available,Not Available,Not Available,Women,40,Support marriage,Punjab Shagun Scheme,300000,Women,Unemployed,Punjab,18,Women,Marriage aid,Female
Gujarat Govt,Not Available,Not Available,Not Available,Student,25,Digital support,Gujarat Laptop Sahay Yojana,300000,Students,Student,Gujarat,16,Students,Laptop subsidy,All
MH Govt,Not Available,Not Available,Not Available,Food,100,Affordable food,Maharashtra Shiv Bhojan Yojana,300000,Poor Families,All,Maharashtra,18,Poor,Low-cost food,All
Kerala Govt,Not Available,Not Available,Not Available,Health,100,Healthcare,Kerala Karunya Scheme,300000,Poor Families,All,Kerala,0,Poor,Medical aid,All
Assam Govt,Not Available,Not Available,Not Available,Women,60,Financial support,Assam Orunodoi Scheme,300000,Women,Housewife,Assam,18,Women,Monthly aid,Female
Jharkhand Govt,Not Available,Not Available,Not Available,Employment,35,Job support,Jharkhand Mukhyamantri Yojana,300000,Youth,Unemployed,Jharkhand,18,Youth,Employment,All
CG Govt,Not Available,Not Available,Not Available,Farmer,65,Farming support,Chhattisgarh Rajiv Gandhi Nyay Yojana,500000,Farmers,Farmer,Chhattisgarh,18,Farmers,Income support,All
Telangana Govt,Not Available,Not Available,Not Available,Farmer,65,Farming scheme,Telangana Rythu Bandhu,500000,Farmers,Farmer,Telangana,18,Farmers,Investment support,All
TN Govt,Not Available,Not Available,Not Available,Food,100,Food support,Tamil Nadu Amma Canteen,300000,Poor Families,All,Tamil Nadu,18,Urban poor,Subsidized food,All
WB Govt,Not Available,Not Available,Not Available,Health,100,Healthcare,West Bengal Swasthya Sathi,300000,General Public,All,West Bengal,0,Residents,Health insurance,All
Bihar Govt,Not Available,Not Available,Not Available,Student,30,Higher education,Bihar Student Credit Card Scheme,400000,Students,Student,Bihar,18,Students,Education loan,All
Odisha Govt,Not Available,Not Available,Not Available,Women,60,Empowerment,Odisha Mission Shakti,300000,Women,Worker,Odisha,18,Women,SHG support,Female
UP Govt,Not Available,Not Available,Not Available,Women,60,Empowerment,UP Mission Shakti,300000,Women,All,Uttar Pradesh,18,Women,Women safety,Female
Delhi Govt,Not Available,Not Available,Not Available,Skill,35,Skill development,Delhi Skill Mission,300000,Youth,Student,Delhi,18,Youth,Skill training,All
Karnataka Govt,Not Available,Not Available,Not Available,Employment,35,Youth support,Karnataka Yuva Nidhi,300000,Youth,Unemployed,Karnataka,18,Graduates,Allowance,All
Ministry of Social Justice & Empowerment,Not Available,Not Available,Not Available,Student,35,Supports higher education abroad,National Overseas Scholarship,800000,Students,Student,All,18,SC/ST/OBC/EWS students with low income,Full/partial funding for foreign studies,All
Ministry of Social Justice & Empowerment,Not Available,Not Available,Not Available,Student,35,Supports overseas education loans,Dr Ambedkar Scheme of Interest Subsidy on Educational Loans for Overseas Studies,800000,Students,Student,All,18,OBC/EWS students,Interest subsidy on education loan,All
Ministry of Minority Affairs,Not Available,Not Available,Not Available,Student,35,Promotes overseas education,Padho Pardesh Scheme,600000,Students,Student,All,18,Minority students,Interest subsidy for foreign studies loans,All
Ministry of Tribal Affairs,Not Available,Not Available,Not Available,Student,35,Supports tribal students abroad,National Overseas Scholarship for ST Students,600000,Students,Student,All,18,ST students,Scholarship for foreign education,All
Ministry of External Affairs / USIEF,Not Available,Not Available,Not Available,Student,40,International exchange scholarship,Fulbright-Nehru Fellowship (India-US),1000000,Students,Student,All,21,Meritorious Indian students,Full funding for study in USA,All
Ministry of Education / UK Govt,Not Available,Not Available,Not Available,Student,40,Study in UK universities,Commonwealth Scholarship (UK),1000000,Students,Student,All,21,Meritorious students,Full scholarship in UK,All
Private Foundation,Not Available,Not Available,Not Available,Student,35,Supports higher studies abroad,Inlaks Shivdasani Foundation Scholarship,1000000,Students,Student,All,21,Top rank students,Full funding abroad,All
Tata Trusts,Not Available,Not Available,Not Available,Student,45,Supports foreign studies,JN Tata Endowment Scholarship,1000000,Students,Student,All,21,Indian students,Loan scholarship,All
Mahindra Foundation,Not Available,Not Available,Not Available,Student,35,Supports overseas education,KC Mahindra Scholarship for Foreign Studies,1000000,Students,Student,All,21,Indian graduates,Interest-free loan,All
UP Govt,Not Available,Not Available,Not Available,Student,35,Supports foreign education,Chief Minister Overseas Scholarship Scheme,600000,Students,Student,Uttar Pradesh,18,UP students,Financial aid for abroad studies,All
UP Govt,Not Available,Not Available,Not Available,Student,35,Foreign education support,UP Dr Ambedkar Overseas Scholarship,600000,Students,Student,Uttar Pradesh,18,SC/ST students UP,Scholarship for SC/ST abroad,All
Rajasthan Govt,Not Available,Not Available,Not Available,Student,35,Supports top students abroad,Rajiv Gandhi Scholarship for Academic Excellence,800000,Students,Student,Rajasthan,18,Rajasthan students,Funding for foreign education,All
West Bengal Govt,Not Available,Not Available,Not Available,Student,35,Supports higher education abroad,Swami Vivekananda Merit-cum-Means Overseas Scholarship,600000,Students,Student,West Bengal,18,WB students,Scholarship for study abroad,All
MP Govt,Not Available,Not Available,Not Available,Student,35,Foreign education support,Chief Minister Overseas Scholarship Scheme (MP),600000,Students,Student,Madhya Pradesh,18,MP students,Financial support abroad,All
TN Govt,Not Available,Not Available,Not Available,Student,35,Supports foreign education,Tamil Nadu Overseas Scholarship Scheme,600000,Students,Student,Tamil Nadu,18,TN students,Scholarship for abroad study,All
Karnataka Govt,Not Available,Not Available,Not Available,Student,35,Supports overseas education,Karnataka Overseas Scholarship Scheme,600000,Students,Student,Karnataka,18,Karnataka students,Scholarship for foreign studies,All
Telangana Govt,Not Available,Not Available,Not Available,Student,35,Foreign education scheme,Telangana Overseas Scholarship Scheme (Ambedkar),600000,Students,Student,Telangana,18,SC/ST/Minority students,Full funding abroad,All
AP Govt,Not Available,Not Available,Not Available,Student,35,Supports overseas studies,Andhra Pradesh Overseas Scholarship Scheme,600000,Students,Student,Andhra Pradesh,18,AP students,Financial aid abroad,All
Kerala Govt,Not Available,Not Available,Not Available,Student,35,Supports higher education abroad,Kerala Overseas Scholarship Scheme,600000,Students,Student,Kerala,18,Kerala students,Scholarship abroad,All
Ministry of Women & Child Development,Government,500000,Medium,Women,100,Government welfare scheme,Indira Mahila Shakti Udyam Protsahan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,Female
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Mukhyamantri Shramik Aujaar Sahayata Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Nirman Shramik Jeevan va Bhavishya Suraksha Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Safai Karmakaar Ke Putr/Putri Hetu Vishesh Coaching Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,"""Advance / High Skill Training"" Component of the ""Development of Industries"" Scheme",Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,"""Advance/High Skill Training in Coir"" Component of the ""Development of Coir"" Scheme",Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Health,Government,500000,Medium,Health,100,Government welfare scheme,"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Agriculture,Government,500000,Medium,Farmer,100,Government welfare scheme,"""Input Assistance to Farmers for Taking up Fish Farming in Farm Ponds"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme",Not Available,General Public,Farmer,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,"""Monthly Grant To Old Crafts Persons (Pension)"" Component of the ""Development of Handicrafts"" Scheme",Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,"""Reactivation Of Fisheries Cooperative Societies"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme",Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,15 Days Skill Up-gradation Training,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,6 Varsh Se Adhik Aayu Ke Bahuviklang Aur Mansik Roop Se Aviksit Nisaktjan Ke Liye Sahayata Anudan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,AFFDF-Financial Assistance For Treatment Of Serious Diseases To Non Pensioner Ex-Servicemen (All Ranks)/Widows,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,High,General,100,Government welfare scheme,AICTE-National Initiative for Training of Technical Teachers (for Inductee Teachers) Scheme,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,AICTE-Training programs for Physical Education Trainers/Sport-Games Teachers/Director of Sports,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Aahar Anudan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Aaloo Ke Kufri Chipsona-1 Prabhed Ke Kshetra Vistaar Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Aam Aadmi Bima Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Aam Aadmi Bima Yojana (Maharashtra),Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Aapki Beti Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Aastha Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Aaws Bhatta Sahayata Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,High,General,100,Government welfare scheme,Abdul Kalam Technology Innovation National Fellowship,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of MSME,Government,500000,Medium,MSME/Startup,100,Government welfare scheme,Abhinandan Education Loan Subsidy Scheme,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Abua Awas Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Academic Education (JKBOCWWB),Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Acharya Vidyasagar Gau Samvardhan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Additional Pension to 100% Disabled Ex-Serviceman having Children,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Additional Pension to 100% Disabled Ex-Serviceman having No Child,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Additional Pension to Widow of Ex-Serviceman having Children,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Additional Pension to Widow of Ex-Serviceman having No Child,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Adi Dravidar and Tribal Welfare Department: Scholarship-Free Education upto 12th Std. to All,Not Available,General Public,Student,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,"Adivasi Sanskriti Evam Kala Kendra/Majhi Bhavan, Manki Munda Bhavan, Parha Bhavan, Pargana Bhavan, Dumkuria Bhavan Evam Gosade Nirman Tatha Majhi Than Shed Nirman Yojana",Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Admission in Post Matric Hostel,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Admission of Adi Dravidar/Tribal Students in Plus One at Reputed Schools,Not Available,General Public,Student,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Agnipath Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Agriculture,Government,500000,Medium,Farmer,100,Government welfare scheme,Agricultural Skill Development Training Programme For Women Farmers And Farmers,Not Available,General Public,Farmer,All,0,As per government norms,As per official scheme guidelines,Female
Ministry of Agriculture,Government,500000,Medium,Farmer,100,Government welfare scheme,Agriculture And Processed Foods Export Promotion Scheme Of APEDA For The 15th Finance Commission Cycle (2021-22 To 2025-26),Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Akanksha Housing Scheme,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Alpasankhyak Post-Maitrik Chhaatravrtti Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Alpsankhyak Merit-Cum-Means Chatravriti Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Women & Child Development,Government,500000,Medium,Women,100,Government welfare scheme,Alpsankhyak Muslim Parityaqta/Talaqshuda Mahila Sahayata Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,Female
Ministry of Health,Government,500000,Medium,Health,100,Government welfare scheme,Andaman & Nicobar Islands Scheme for Health Insurance,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Annath Pension Yojana (JBOCWWB),Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Antarjatiye Vivah Protsahan Anudan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Antayoshti Sahayata Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Antheyesthi Anudan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Antim Sans‍kar Yojana ​,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Antya Sanskar Sahay Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of MSME,Government,500000,Medium,MSME/Startup,100,Government welfare scheme,Arivu Education Loan Scheme,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Asangathit Karmakaar Mrtyu Evan Divyaang Sahaayata Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Asangathit Karmakaar Silai Machine Sahayata Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Asangathit Karmakar Ke Bachcho Hetu Chhatravriti Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Asangathit Karmakar Prasuti Sahayata Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Asangathit Karmakar Samachar-Patr Hawker Cycle Sahayata Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of MSME,Government,500000,Medium,MSME/Startup,100,Government welfare scheme,Assam Abhinandan Education Loan Subsidy Scheme,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Atal Asra Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Atal Awasiya Vidyala Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Atal Beemit Vyakti Kalyan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Atal Graha Jyoti Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Atal Mission For Rejuvenation And Urban Transformation,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Atal Pension Yojana,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Atal Sneh Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Atma Nirbhar Bagwani Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Atma Nirbhar Krishi Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,"Award for Success in State Public Service Commission, Union Public Service Commission Examination (MPBOCWWB)",Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Award of Attendance Scholarship to Girl Students in the Middle Stage of Education,Not Available,General Public,Student,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,High,Student,100,Government welfare scheme,Award of Scholarship to the Children who are Recipients of National Child Award for Exceptional Achievements and Other National / International Merit Awards,Not Available,General Public,Student,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Awasiya Vidyala Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Health,Government,300000,High,Health,100,Government welfare scheme,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,BPL (Below Poverty Line) Student Welfare Scholarship - Technical Education,Not Available,General Public,Student,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bakri Palan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bal Sakha Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Balika Samrithi Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
