scheme_name,category,ministry,benefits,eligibility,description,target_group,age_min,age_max,gender,income_max,occupation,state
Merit-cum-Means Scholarship,Student,Government,Ministry of Minority Affairs,Scholarship for professional courses,Minority students,Merit + income support,Students,17,35,All,250000,Student,All
National Scholarship Portal,Student,Government,Ministry of Education,Multiple scholarships,Students,Central scholarship platform,Students,10,30,All,400000,Student,All



Indira Gandhi National Old Age Pension Scheme (IGNOAPS),Pension,Government,Ministry of Rural Development,Monthly pension ₹200–₹500,BPL citizens aged 60+,Most important central old age pension scheme,Elderly,60,100,All,300000,Unemployed,All
National Social Assistance Programme (NSAP),Pension,Government,Ministry of Rural Development,Pension support for elderly,BPL families,Umbrella pension scheme by govt,Elderly,60,100,All,300000,Unemployed,All
Atal Pension Yojana,Pension,Government,Ministry of Finance,Guaranteed pension after 60,Workers aged 18–40,Most popular pension scheme for workers,Workers,18,40,All,500000,Worker,All
Pradhan Mantri Vaya Vandana Yojana (PMVVY),Pension,Government,LIC / Ministry of Finance,Guaranteed monthly pension,Senior citizens 60+,Safe pension scheme by LIC,Elderly,60,100,All,1000000,Retired,All
Senior Citizens Savings Scheme (SCSS),Pension,Government,Ministry of Finance,High interest + regular income,Senior citizens 60+,Best saving + pension scheme,Elderly,60,100,All,1000000,Retired,All
Telangana Aasara Pension Scheme,Pension,State Government,Telangana Govt,High monthly pension,Elderly poor,One of highest paying state pension schemes,Elderly,60,100,All,300000,Unemployed,Telangana
Delhi Old Age Pension Scheme,Pension,State Government,Delhi Govt,₹2000–₹2500 monthly pension,Elderly residents,Popular urban pension scheme,Elderly,60,100,All,300000,Unemployed,Delhi
UP Old Age Pension Scheme,Pension,State Government,UP Govt,Monthly pension,Elderly residents,Widely used state pension,Elderly,60,100,All,300000,Unemployed,Uttar Pradesh
Haryana Old Age Samman Allowance,Pension,State Government,Haryana Govt,Monthly pension,Elderly citizens,High benefit pension scheme,Elderly,60,100,All,300000,Unemployed,Haryana
Odisha Madhu Babu Pension Yojana,Pension,State Government,Odisha Govt,Monthly pension,Elderly poor,Popular welfare pension scheme,Elderly,60,100,All,300000,Unemployed,Odisha



Indira Gandhi National Widow Pension Scheme (IGNWPS),Women/Pension,Government,Ministry of Rural Development,Monthly pension ₹300–₹500,BPL widows aged 40+,Central widow pension scheme,Widow Women,40,100,Female,300000,Unemployed,All
National Social Assistance Programme (Widow Component),Women/Pension,Government,Ministry of Rural Development,Pension support,BPL widows,Social security for widows,Widow Women,40,100,Female,300000,Unemployed,All


UP Widow Pension Scheme (Vidhwa Pension),Women/Pension,State Government,UP Govt,Monthly pension,Widow women in UP,State widow pension scheme,Widow Women,18,100,Female,300000,Unemployed,Uttar Pradesh
Delhi Widow Pension Scheme,Women/Pension,State Government,Delhi Govt,₹2500 monthly pension,Widow women residents,Urban widow support,Widow Women,18,100,Female,300000,Unemployed,Delhi
Rajasthan Widow Pension Scheme,Women/Pension,State Government,Rajasthan Govt,Monthly pension,Widow women,Social welfare scheme,Widow Women,18,100,Female,300000,Unemployed,Rajasthan
Maharashtra Widow Pension Scheme (Sanjay Gandhi Niradhar Yojana),Women/Pension,State Government,MH Govt,Financial assistance,Widow women,Support for destitute women,Widow Women,18,100,Female,300000,Unemployed,Maharashtra
West Bengal Widow Pension Scheme,Women/Pension,State Government,WB Govt,Monthly pension,Widow women,Social support,Widow Women,18,100,Female,300000,Unemployed,West Bengal
Tamil Nadu Widow Pension Scheme,Women/Pension,State Government,TN Govt,Monthly pension,Widow women,Social welfare,Widow Women,18,100,Female,300000,Unemployed,Tamil Nadu
Karnataka Widow Pension (Sandhya Suraksha / Widow Scheme),Women/Pension,State Government,Karnataka Govt,Monthly pension,Widow women,Support scheme,Widow Women,18,100,Female,300000,Unemployed,Karnataka
Telangana Widow Pension (Aasara),Women/Pension,State Government,Telangana Govt,High monthly pension,Widow women,One of best pension schemes,Widow Women,18,100,Female,300000,Unemployed,Telangana
Andhra Pradesh Widow Pension (YSR Pension Kanuka),Women/Pension,State Government,AP Govt,Monthly pension,Widow women,State support scheme,Widow Women,18,100,Female,300000,Unemployed,Andhra Pradesh
Kerala Widow Pension Scheme,Women/Pension,State Government,Kerala Govt,Monthly pension,Widow women,Social welfare scheme,Widow Women,18,100,Female,300000,Unemployed,Kerala
Odisha Widow Pension (Madhu Babu Pension Yojana),Women/Pension,State Government,Odisha Govt,Monthly pension,Widow women,State pension scheme,Widow Women,18,100,Female,300000,Unemployed,Odisha
Haryana Widow Pension Scheme,Women/Pension,State Government,Haryana Govt,Monthly pension,Widow women,Support scheme,Widow Women,18,100,Female,300000,Unemployed,Haryana
Bihar Widow Pension Scheme,Women/Pension,State Government,Bihar Govt,Monthly pension,Widow women,State welfare scheme,Widow Women,18,100,Female,300000,Unemployed,Bihar
Madhya Pradesh Widow Pension Scheme,Women/Pension,State Government,MP Govt,Monthly pension,Widow women,Financial assistance,Widow Women,18,100,Female,300000,Unemployed,Madhya Pradesh
Chhattisgarh Widow Pension Scheme,Women/Pension,State Government,CG Govt,Monthly pension,Widow women,Support scheme,Widow Women,18,100,Female,300000,Unemployed,Chhattisgarh
Jharkhand Widow Pension Scheme,Women/Pension,State Government,Jharkhand Govt,Monthly pension,Widow women,State scheme,Widow Women,18,100,Female,300000,Unemployed,Jharkhand 


Ayushman Bharat PM-JAY,Health,Government,Ministry of Health & Family Welfare,₹5 lakh health insurance per family,SECC low-income families,India’s largest health insurance scheme,Poor Families,0,100,All,300000,All,All
Ayushman Bharat Health and Wellness Centres,Health,Government,Ministry of Health & Family Welfare,Free primary healthcare services,All citizens,Primary healthcare access,General Public,0,100,All,1000000,All,All
Central Government Health Scheme (CGHS),Health,Government,Ministry of Health & Family Welfare,Comprehensive healthcare,Central govt employees & pensioners,Health services for govt staff,Government Employees,18,100,All,1000000,Worker,Urban
Employees' State Insurance Scheme (ESIC),Health,Government,Ministry of Labour & Employment,Medical + cash benefits,Organized sector workers,Health insurance for workers,Workers,18,60,All,500000,Worker,Urban
Rashtriya Swasthya Bima Yojana (RSBY),Health,Government,Ministry of Labour & Employment,Health insurance for poor,BPL families,Insurance for unorganized workers,Poor Families,0,100,All,300000,Worker,All
Janani Suraksha Yojana (JSY),Health,Government,Ministry of Health & Family Welfare,Cash assistance for safe delivery,Pregnant women (BPL),Promotes institutional delivery,Women,18,45,Female,300000,Housewife,All
Janani Shishu Suraksha Karyakram (JSSK),Health,Government,Ministry of Health & Family Welfare,Free delivery + newborn care,Pregnant women,Free maternal & child healthcare,Women/Children,18,45,Female,300000,Housewife,All
National Health Mission (NHM),Health,Government,Ministry of Health & Family Welfare,Healthcare infrastructure support,All citizens,Improves public health system,General Public,0,100,All,1000000,All,All
Pradhan Mantri National Dialysis Programme,Health,Government,Ministry of Health & Family Welfare,Free dialysis services,Renal patients,Affordable dialysis care,Patients,0,100,All,300000,All,All
Free Drug Service Initiative,Health,Government,Ministry of Health & Family Welfare,Free medicines,All citizens,Access to essential drugs,General Public,0,100,All,1000000,All,All


Arogya Karnataka,Health,State Government,Karnataka Govt,Free/low-cost treatment,State residents,Universal health coverage,General Public,0,100,All,300000,All,Karnataka
Mahatma Jyotiba Phule Jan Arogya Yojana,Health,State Government,Maharashtra Govt,Health insurance up to ₹5 lakh,BPL families,Major state health scheme,Poor Families,0,100,All,300000,All,Maharashtra
Biju Swasthya Kalyan Yojana,Health,State Government,Odisha Govt,Health insurance,Poor families,Free healthcare,Poor Families,0,100,All,300000,All,Odisha
Swasthya Sathi,Health,State Government,West Bengal Govt,₹5 lakh insurance,State residents,Health insurance scheme,General Public,0,100,All,300000,All,West Bengal
Mukhyamantri Amrutam Yojana,Health,State Government,Gujarat Govt,Health insurance,Poor families,Healthcare coverage,Poor Families,0,100,All,300000,All,Gujarat
Chief Minister’s Comprehensive Health Insurance Scheme,Health,State Government,Tamil Nadu Govt,Health insurance,Low-income families,Free treatment,Poor Families,0,100,All,300000,All,Tamil Nadu
Rajiv Aarogyasri Scheme,Health,State Government,Andhra Pradesh Govt,Free surgery & treatment,Poor families,Specialized healthcare,Poor Families,0,100,All,300000,All,Andhra Pradesh
Aarogyasri Telangana,Health,State Government,Telangana Govt,Free treatment,Poor families,Healthcare scheme,Poor Families,0,100,All,300000,All,Telangana
Delhi Arogya Kosh,Health,State Government,Delhi Govt,Financial assistance for treatment,Residents,Medical aid scheme,General Public,0,100,All,300000,All,Delhi
Mukhyamantri Chiranjeevi Yojana,Health,State Government,Rajasthan Govt,Free treatment,Residents,Health coverage scheme,General Public,0,100,All,300000,All,Rajasthan
UP Mukhyamantri Jan Arogya Yojana,Health,State Government,UP Govt,Health insurance,Poor families,State health scheme,Poor Families,0,100,All,300000,All,Uttar Pradesh

Stand Up India Scheme,MSME/Women,Government,Ministry of Finance,Loan ₹10 lakh–₹1 crore,Women/SC/ST entrepreneurs,Top scheme for women entrepreneurs,Women Entrepreneurs,18,65,Female,1000000,Business,All
Pradhan Mantri Mudra Yojana (PMMY),MSME/Women,Government,Ministry of Finance,Loans up to ₹10 lakh,Women entrepreneurs,Micro business loans,Women Entrepreneurs,18,65,Female,1000000,Business,All
Prime Minister Employment Generation Programme (PMEGP),MSME/Women,Government,Ministry of MSME,Subsidy + loan,Women above 18,Self-employment scheme,Women Entrepreneurs,18,50,Female,500000,Business,All
Mahila Coir Yojana,MSME/Women,Government,Ministry of MSME,Subsidy + training,Women artisans,Promotes coir industry,Women Workers,18,60,Female,500000,Worker,Coastal
Trade Related Entrepreneurship Assistance and Development (TREAD),MSME/Women,Government,Ministry of MSME,Financial + training support,Women entrepreneurs,Promotes women-led MSMEs,Women Entrepreneurs,18,60,Female,500000,Business,All
Annapurna Scheme,MSME/Women,Government,Ministry of Finance,Loan for food business,Women entrepreneurs,Supports food catering business,Women Entrepreneurs,18,60,Female,500000,Business,All
Stree Shakti Package,MSME/Women,Government (Bank Linked),Public Sector Banks,Loan with concessional rates,Women entrepreneurs,Encourages women businesses,Women Entrepreneurs,18,60,Female,1000000,Business,All
Mahila Udyam Nidhi Scheme,MSME/Women,Government (SIDBI),SIDBI,Soft loan for MSME,Women entrepreneurs,Supports small industries,Women Entrepreneurs,18,60,Female,1000000,Business,All
Udyogini Scheme,MSME/Women,Government (State + Banks),State Govt / Banks,Loan subsidy,Women entrepreneurs,Supports small-scale business,Women Entrepreneurs,18,55,Female,300000,Business,All
Dena Shakti Scheme,MSME/Women,Government (Bank Scheme),Public Sector Banks,Loan at lower interest,Women entrepreneurs,Encourages women MSMEs,Women Entrepreneurs,18,60,Female,500000,Business,All


Deendayal Antyodaya Yojana - NRLM,MSME/Women,Government,Ministry of Rural Development,SHG funding + loans,Rural women,Promotes self-help groups,Women,18,60,Female,300000,Worker,Rural
Lakhpati Didi Scheme,MSME/Women,Government,Ministry of Rural Development,Income generation support,SHG women,Empowering rural women,Women,18,60,Female,300000,Worker,Rural



Mukhyamantri Mahila Udyamita Yojana,MSME/Women,State Government,Various States,Financial support,Women entrepreneurs,Promotes women entrepreneurship,Women Entrepreneurs,18,60,Female,500000,Business,State Specific
Karnataka Udyogini Scheme,MSME/Women,State Government,Karnataka Govt,Loan subsidy,Women entrepreneurs,Supports women businesses,Women Entrepreneurs,18,55,Female,300000,Business,Karnataka
Tamil Nadu Amma Entrepreneurship Scheme,MSME/Women,State Government,TN Govt,Financial support,Women entrepreneurs,Encourages small businesses,Women Entrepreneurs,18,60,Female,300000,Business,Tamil Nadu



Pradhan Mantri Mudra Yojana (PMMY),MSME/Startup,Government,Ministry of Finance,Loans up to ₹10 lakh,Non-corporate small businesses,Most popular MSME loan scheme,Entrepreneurs,18,65,All,1000000,Business,All
Stand Up India Scheme,MSME/Startup,Government,Ministry of Finance,Loan ₹10 lakh–₹1 crore,SC/ST/Women entrepreneurs,Promotes inclusive entrepreneurship,Entrepreneurs,18,65,All,1000000,Business,All
Prime Minister Employment Generation Programme (PMEGP),MSME/Startup,Government,Ministry of MSME,Subsidy + loan for business setup,Individuals above 18,Self-employment generation scheme,Entrepreneurs,18,50,All,500000,Business,All
Credit Guarantee Fund Trust for Micro & Small Enterprises (CGTMSE),MSME,Government,Ministry of MSME,Collateral-free loans,MSME units,Encourages lending without collateral,Entrepreneurs,18,65,All,1000000,Business,All
Udyam Registration,MSME,Government,Ministry of MSME,Official MSME recognition,Small businesses,Registration for MSME benefits,Businesses,18,65,All,1000000,Business,All
Interest Subvention Scheme for MSMEs,MSME,Government,Ministry of MSME,2% interest subsidy on loans,MSMEs,Reduces loan burden,Businesses,18,65,All,1000000,Business,All
Technology Upgradation Fund Scheme (TUFS),MSME,Government,Ministry of Textiles,Subsidy for tech upgrade,Textile MSMEs,Modernization support,Businesses,18,65,All,1000000,Business,All
ZED Certification Scheme (Zero Defect Zero Effect),MSME,Government,Ministry of MSME,Quality certification subsidy,MSMEs,Improves product quality,Businesses,18,65,All,1000000,Business,All
ASPIRE Scheme,MSME/Startup,Government,Ministry of MSME,Support for rural startups,Rural entrepreneurs,Promotes innovation,Rural Entrepreneurs,18,50,All,500000,Business,Rural
SFURTI Scheme,MSME,Government,Ministry of MSME,Cluster development support,Traditional industries,Revives traditional sectors,Artisans,18,60,All,500000,Worker,Rural
Coir Udyami Yojana,MSME,Government,Ministry of MSME,Subsidy for coir units,Entrepreneurs,Supports coir industry,Businesses,18,60,All,500000,Business,Coastal
Startup India Scheme,MSME/Startup,Government,DPIIT,Tax benefits + funding,Startups,Startup ecosystem support,Entrepreneurs,18,65,All,1000000,Business,All
Make in India,MSME/Manufacturing,Government,Ministry of Commerce,Industrial support,Businesses,Promotes manufacturing,Businesses,18,65,All,1000000,Business,All
Digital MSME Scheme,MSME,Government,Ministry of MSME,Support for digital tools,MSMEs,Digital transformation,Businesses,18,65,All,1000000,Business,All
MSME Champions Scheme,MSME,Government,Ministry of MSME,Grievance + support system,MSMEs,Helps MSMEs grow,Businesses,18,65,All,1000000,Business,All

Pradhan Mantri Mudra Yojana (Women),business,Loan support for women entrepreneurs to start small businesses,Women Entrepreneurs,18,60,Female,1000000,Business,All
Stand Up India Scheme,business,Loans for women to start greenfield enterprises,Women Entrepreneurs,18,65,Female,1000000,Business,All
Mahila Udyam Nidhi Scheme,business,Financial assistance for women to start small-scale industries,Women Entrepreneurs,18,55,Female,1000000,Business,All
Annapurna Scheme for Women,business,Loan for women in food catering businesses,Women Entrepreneurs,18,60,Female,500000,Business,All
Dena Shakti Scheme,business,Loans for women in agriculture, manufacturing, and retail sectors,Women Entrepreneurs,18,60,Female,2000000,Business,All
Udyogini Scheme,business,Subsidized loans for women entrepreneurs from low-income groups,Women Entrepreneurs,18,55,Female,300000,Business,All
Cent Kalyani Scheme,business,Collateral-free loans for women entrepreneurs,Women Entrepreneurs,18,60,Female,1000000,Business,All
Mahila Coir Yojana,business,Support for women in coir industry and small businesses,Women Entrepreneurs,18,60,Female,500000,Business,All
TREAD Scheme,business,Training and financial support for women entrepreneurs,Women Entrepreneurs,18,60,Female,1000000,Business,All
PMEGP (Women Category),business,Subsidy-based loan scheme for women entrepreneurs under PMEGP,Women Entrepreneurs,18,60,Female,1000000,Business,All
Women Entrepreneurship Platform (NITI Aayog),business,Support platform for women startups and business growth,Women Entrepreneurs,18,60,Female,1000000,Business,All
Startup India (Women Support),business,Special benefits for women-led startups under Startup India,Women Entrepreneurs,18,60,Female,1000000,Business,All
